iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ[6],θ[7],θ₂[1],θ₂[2],λ[1],λ[2],λ[3],λ[4],λ[5],λ[6],λ[7],μ,δ,lp
1,1,0.5658983569560487,-0.5593612134164528,0.8870277983288551,-0.0733260536172141,-0.25737708274934323,-0.37292857916356914,1.45919567457294,0.906131646427179,-1.0239448967531581,1.1961140713308727,0.3099843532698771,1.7584510881130475,0.5554419008280554,0.4453688341629213,0.3877035433262797,3.4939566668968807,1.5731277314289775,0.5993122996448653,-11.085161478564583
2,1,-0.6542705335511283,-0.49769646381254135,0.356413751216457,-0.6182444901537171,-0.9328830464811412,-0.4252029064154355,0.14973023680815953,-0.7136072881536937,1.206019705712854,0.27661610397974684,0.33379249331607647,0.9302485238945678,0.28883681966228175,0.19800566139796244,0.36413030752614345,0.725914009178477,0.6999099157003751,1.8276113716357085,-10.381564318317498
3,1,-2.1227461376522743,0.008531140927339115,-1.4652613055104653,-0.10526345414840217,2.4770139375929405,0.2535762214974919,-2.2048089722751922,0.21440633180068613,-0.21461888687952485,0.04748718635966372,0.6127718300283915,0.10452661336909573,0.5345574102745493,11.851053008518278,0.8222518580486148,0.043033742283944416,1.1131603877396654,0.8982476731301754,-17.179100762129107
4,1,0.47764373905006113,-1.0064524113953404,1.1434641921716986,-0.8564171407004486,1.0794749405428146,0.42547776844238666,0.01878279927354728,1.077905228285561,-0.15178142775376635,1.0759161023006363,0.18127448700155274,2.392065050170726,0.2170341490691675,2.215260333514295,1.0106294172308379,0.6203567018146663,1.71421048178245,0.9269175002443352,-11.177255914214616
5,1,0.7278829825568907,2.015063815541207,1.0098722101195312,-0.37884091591865354,0.8089477377856291,1.4386264659687702,1.8735319918501763,0.4768453485437941,-0.23019193346763878,1.4527518407737048,6.807851501291559,2.0377508031813742,0.3849625973698525,1.6011742804615696,3.4087708070219045,5.74447423545212,1.2692455569049004,0.8912806065138013,-14.404543111615546
6,1,0.18487988461415095,-0.7967467681476867,-0.3519927364643657,0.5121240046361029,0.14870072853843083,-0.3220355578463349,0.028862767552239346,-1.0525068607473924,-0.6958133362899014,0.7571876737808156,0.23314466884152998,0.3975672074803046,1.1213673686945669,0.7250177615384085,0.41211919244739315,0.6279060793099868,0.5908143554039812,0.7061647808078009,-9.657314111018138
7,1,-2.214143280739939,0.22324516557265478,2.321494125898547,2.4095850162653933,1.5988903280083397,1.6693781848638105,-1.3183805324998477,-1.7260379852186596,0.35534653218409523,0.04255440360288797,0.7928622330037772,9.833480602375266,10.929898540888075,4.131615090529915,4.496295438472754,0.12467353988353796,0.4218864855960697,1.1944349950581443,-21.437738357199496
8,1,-1.107905274745371,-1.5197061725321874,2.6000311526129747,-0.11759431524126042,-0.01778177023938068,1.0777252131850807,1.5658996252732724,-1.223360501216627,-1.9590229797597147,0.16049598862830708,0.09791579473763824,13.736237079092799,0.5267057801445842,0.5937255376156415,2.2106138912935096,3.971244613901872,0.542438670022329,0.37549448691120485,-17.900038188971223
9,1,1.0702242899462922,-0.9372454767741093,0.6040511893712106,-0.6793729461339296,0.8556029855726682,0.3835948544236043,-0.35639531211307623,-1.872001688114316,0.1719128439925061,2.190805200983166,0.19697182670344482,1.25214919040675,0.268407874575327,1.6933750063813795,0.9610910065115604,0.39547236233363,0.39219314485993406,1.0897588377556495,-11.965645798758949
10,1,-1.0183647503881685,0.8390516289539315,-0.15673123006955603,-1.7962862466444582,0.8125151997502122,-0.29132406027614216,-0.041999251306575766,-0.27350393986158295,1.236588758746575,0.1787016362474062,1.6600736265773461,0.5025412885863062,0.07026064191031423,1.6080435274502343,0.4275906901802965,0.5767195947493349,0.8721865277911937,1.8557601182405123,-11.941973857670042
